Stückchen	Stoff	Amount	NAC	No	http://www.lustgespinst.de/die_kirgisische_kindfrau.html	45aa61960395f92565c3d0bbbc0f6627b344	i	35.5	<s> Er er PPER hätte haben VAFIN seine sein	PPOSAT Kleider	Kleid NN ablegen ablegen VVINF mögen mögen VMINF , , $, dieses dies PDAT Stückchen Stückchen NN Stoff Stoff NN beiseite beiseite ADV rücken rücken VVINF mögen mögen VMFIN , , $, und und KON seinen sein PPOSAT warmen warm ADJA Penis Penis NN in in APPR dieses dies PDAT Mädchen Mädchen NN schieben schieben VVINF mögen mögen VMFIN , , $, noch noch ADV während während KOUS sie sie PPER in in APPR dieser dies PDAT absurden absurd ADJA , , $, erregenden erregend ADJA Stellung Stellung NN verharrte verharren VVFIN . . $. </s>
Tropfen	Wasser	Portion	NAC	No	http://www.priesterseminar-herz-jesu.de/aktuelles/nachrichten/07-08index.html	85fcc5497bc91ae4fcb79b80e15ec0b0ca5f	a	113.1	<s> Schon schon	ADV jeder	jede PIAT Tropfen Tropfen NN Wasser Wasser NN verursachte verursachen VVFIN ihr ihr PPOSAT Schmer-zen (unknown) NN . . $. </s>
Kilogramm	Salz	Physical	NAC	No	http://www.aquaristik-live.de/wirbellose-f11/amano-nachwuchs-stirbt--t103197.html	3ab94306fde8697a506af5ded6290ab37862	e	11.0	<s> Eigentlich eigentlich ADV glaube glauben VVFIN ich ich PPER nicht nicht PTKNEG , , $, dass dass KOUS es es PPER	an an	APPR dem die ART Salz Salz NN bzw. beziehungsweise ADV dem die ART Trennmittel Trennmittel NN liegt liegen VVFIN , , $, weil weil KOUS die die ART maximal maximal ADJD erlaubte erlaubt ADJA Menge Menge NN pro pro APPR kg kg NN Salz Salz NN 20 20 CARD mg mg NN ist sein VAFIN , , $, also also ADV pro pro APPR Päckchen Päckchen NN Salz Salz NN nur nur ADV 10 10 CARD mg mg NN . . $. </s>
Menge	Luft	Amount	NAC	No	http://www.sofacoach.de/forum/archive/index.php/t-255-p-2.html	2e65485a36b591a826ff7dccbe3a8fc67622	d	20.7	<s> Ich ich PPER bin sein VAFIN die die ART gleiche gleich ADJA Strecke Strecke NN wie wie KOKOM beim bei APPRART ersten erst ADJA Mal Mal NN gelaufen laufen VVPP	und und	KON hab haben VAFIN richtig richtig ADJD gemerkt merken VVPP , , $, wie wie KOUS ich ich PPER an an APPR der die ART Stelle Stelle NN , , $, wo wo PWAV ich ich PPER zuvor zuvor ADV schlapp schlapp ADJD gemacht machen VVPP habe haben VAFIN , , $, noch noch ADV jede jede PIAT Menge Menge NN Luft Luft NN da da ADV war sein VAFIN , , $, sodass sodass KOUS ich ich PPER sogar sogar ADV die die ART doppelte doppelt ADJA Strecke Strecke NN geschafft schaffen VVPP habe haben VAFIN . . $. </s>
Menge	Beton	Amount	NAC	No	http://www.berliner-woche.de/Alles-nach-Plan.392.0.html	0431810b3716a94edc38e4eb4a5363b5b768	a	63.9	<s> " " $( Aber aber KON bis	bis KON	dahin dahin PAV wird werden VAFIN noch noch ADV jede jede PIAT Menge Menge NN Beton Beton NN verbaut verbauen VVPP werden werden VAINF , , $, insgesamt insgesamt ADV 1,35 @card@ CARD Millionen Million NN Kubikmeter Kubikmeter NN - - $( hergestellt herstellen VVPP vor vor APPR Ort Ort NN in in APPR dem die ART laut laut APPR Flughafengesellschaft Flughafengesellschaft NN modernsten modern ADJA Betonwerk Betonwerk NN Europas Europa NE , , $, das die PRELS nur nur ADV für für APPR den die ART neuen neu ADJA BBI (unknown) NN produziert produzieren VVPP . . $. </s>
Menge	Benzin	Amount	NAC	No	http://schule.de/bics/son/verkehr/presse/1998_2/v2182_05.htm	2a8554956cf6c54d147f178b9476462dacf4	c	42.8	<s> Der die ART Mehrpreis Mehrpreis NN von von APPR rund rund ADV 12 12 CARD 000 @card@ CARD Francs Franc NN gegenüber gegenüber APPR dem die ART reinen rein	ADJA Benzinauto	Benzinauto NN amortisiert amortisieren VVFIN sich sich PRF bald bald ADV , , $, erklärt erklären VVFIN Co-Pilot Co-Pilot NN Michel Michel NE Hrycenko (unknown) NE , , $, da da KOUS ein eine ART Liter Liter NN Flüssiggas Flüssiggas NN nur nur ADV 2,50 2,50 CARD Francs Franc NN , , $, dieselbe dieselb PDAT Menge Menge NN Benzin Benzin NN dagegen dagegen PAV mehr mehr ADV als als KOKOM 6 6 CARD Francs Franc NN koste kosen|kosten VVFIN . . $. </s>
Kilogramm	Futter	Physical	NAC	Yes	http://forum.maulkorbzwang.de/noncgi/ultimatebb.php/topic/164/650.html	47e2acd1575ad6e4103f9fb93ee3205ae666	h	50.0	<s> Mindestens mindestens	ADV fünf	fünf CARD Kilo Kilo NN Futter Futter NN in in APPR der die ART Schüssel Schüssel NN ( ( $( und und KON etwas etwas ADV mehr mehr PIAT Fantasie Fantasie NN beim bei APPRART Menüplan Menüplan NN ) ) $( . . $. </s>
Rest	Fleisch	Rest	NAC	No	http://www.vonwolkenstein.de/forum/archive/index.php?t-3850.html	1a5ef94e159849e04d3680ddaa83b21fc03b	c	51.4	<s> Agatha Agatha NE kratzte kratzen VVFIN von	von APPR	Hyles (unknown) ADJA Krallen Kralle|Krallen NN die die ART letzten letzt ADJA Reste Rest NN Fleisch Fleisch NN des die ART Eberohres Eberohr NN , , $, verstaute verstauen VVFIN sie sie PPER sorgsam sorgsam ADJD in in APPR ihrem ihr PPOSAT Ränzel (unknown) NN und und KON wandte wenden VVFIN sich sich PRF danach danach PAV wieder wieder ADV ihren ihr PPOSAT Freunden Freund NN zu zu PTKVZ . . $. </s>
Menge	Kaffee	Amount	NAC	No	http://www.simforum.de/archive/index.php/t-120615-p-22.html	2a89fef9bd00b1ab7719467905704ef097ab	d	21.5	<s> Jede	jede PIAT	Menge Menge NN Kaffee Kaffee NN und und KON Cappu (unknown) NN und und KON das die ART Wasser Wasser NN für für APPR den die ART Tee Tee NN kocht kochen VVFIN auch auch ADV gleich gleich ADJD . . $. </s>
Löffel	Suppe	Container	NAC	No	http://www.autorin-bettinas-schatzkiste.de/bookflip1.html	14fd48d7472dff6599bb8dab29c91381ae6d	d	73.1	<s> Zu zu APPR ihm er PPER an an APPR das die ART Bett Bett NN getraute	getrauen VVFIN	sie sie PPER sich sich PRF nicht nicht PTKNEG mehr mehr ADV , , $, erbrach erbrechen VVFIN er er PPER doch doch ADV sofort sofort ADV jeden jede PIAT Löffel Löffel NN Suppe Suppe NN , , $, und und KON sie sie PPER befürchtete befürchten VVFIN , , $, dass dass KOUS das die ART Gift Gift NN nicht nicht PTKNEG richtig richtig ADJD wirken wirken VVINF würde werden VAFIN . . $. </s>
