modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,9.12207794189,,,,,,,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,0,0,2,,,,,,,,f,0,7.04246997833,,,,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,1,1,3,,,,,,,,j,0,4.99837112427,,,,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,2,2,1,,,,,,,,f,0,5.46676898003,,,,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,3,3,0,,,,,,,,f,0,7.66465210915,,,,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,,,,,0,0,0,36,,,,,,,f,0,4.14162492752,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,,,,,0,1,1,35,,,,,,,f,0,3.15366387367,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
level,1,Wir haben jede Menge alten Kram aus dem Haus geschafft.,mn,Wir haben jede Menge alten Krams aus dem Haus geschafft.,r,,,,,,,,,0,2,2,2,,,,,,,j,0,5.61811590195,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,,,,,0,3,3,37,,,,,,,j,0,2.75058507919,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
x,0,Wir hatten in Dänemark einen gelegentlichen Besucher.,x,Wir hatten in Dänemark gelegentlich einen Besucher.,x,,,,,,,,,0,4,4,24,,,,,,,f,0,6.92659401894,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
level,1,Er stellt die Masse mit einem Esslöffel warmen Honigs her.,mn,Er stellt die Masse mit einem Esslöffel warmem Honig her.,l,,,,,,,,,0,5,5,3,,,,,,,f,0,7.02659010887,2017_Jan_23_1055,60.0752533391,2afc,001,Mo11,
