modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,7.55649709702,,,,,,,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,0,0,3,,,,,,,,j,0,9.07761907578,,,,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,1,1,2,,,,,,,,f,0,5.88933801651,,,,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,2,2,1,,,,,,,,j,0,10.5282239914,,,,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,3,3,0,,,,,,,,f,0,10.944464922,,,,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,Außer den Bürgermeister beschuldigten die Störenfriede jeden.,x,Außer dem Bürgermeister beschuldigten die Störenfriede jeden.,x,,,,,,,,,0,0,0,33,,,,,,,f,0,13.4311730862,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,,,,,0,1,1,34,,,,,,,f,0,10.6783370972,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,Die Kinder fuhren mit solchen unzureichenden Helmen zur Schule.,x,Die Kinder fuhren mit solch unzureichenden Helmen zur Schule.,x,,,,,,,,,0,2,2,29,,,,,,,f,0,7.77598619461,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,Unter wildem ausgelassenem Gegröle randalierten wieder die Abiturienten.,x,Unter wildem ausgelassenen Gegröle randalierten wieder die Abiturienten.,x,,,,,,,,,0,3,3,27,,,,,,,f,0,8.60920381546,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,,,,,0,4,4,37,,,,,,,j,0,3.43674397469,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,Er wurde trotz des bekannten Skandal wiedergewählt.,x,Er wurde trotz dem bekannten Skandal wiedergewählt.,x,,,,,,,,,0,5,5,16,,,,,,,f,0,6.82546782494,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
level,1,In den Kakao gehören immer 350ml warme Milch.,fem,In den Kakao gehören immer 350ml warmer Milch.,r,,,,,,,,,0,6,6,8,,,,,,,j,0,8.44330883026,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
x,0,Das würde gepasst haben.,x,Das hätte gepasst.,x,,,,,,,,,0,7,7,21,,,,,,,f,0,4.28995490074,2017_Jan_17_1551,59.9487742408,2afc,001,Di16,
