modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,8.19968390465,,,,,,,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,0,0,3,,,,,,,,j,0,5.96954202652,,,,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,1,1,1,,,,,,,,j,0,8.09987807274,,,,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,2,2,0,,,,,,,,f,0,4.52799606323,,,,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,3,3,2,,,,,,,,f,0,4.15868902206,,,,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,,,,,0,0,0,36,,,,,,,f,0,3.67243480682,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
drop,1,Dort türmen sich Berge schmutziger Wäsche.,fem,Dort türmen sich Berge schmutzige Wäsche.,r,,,,,,,,,0,1,1,13,,,,,,,j,0,5.31682705879,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
level,1,Wir haben jede Menge alten Kram aus dem Haus geschafft.,mn,Wir haben jede Menge alten Krams aus dem Haus geschafft.,r,,,,,,,,,0,2,2,2,,,,,,,f,0,10.5980429649,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Unter wildem ausgelassenem Gegröle randalierten wieder die Abiturienten.,x,Unter wildem ausgelassenen Gegröle randalierten wieder die Abiturienten.,x,,,,,,,,,0,3,3,27,,,,,,,f,0,9.54111289978,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
level,1,Die Schule verbraucht 260.000 Kilowattstunden elektrische Energie.,fem,Die Schule verbraucht 260.000 Kilowattstunden elektrischer Energie.,r,,,,,,,,,0,4,4,10,,,,,,,f,0,3.22077608109,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
drop,1,Nicht ein Tropfen königlichen Bluts hat den Boden berührt.,mn,Nicht ein Tropfen königliches Blut hat den Boden berührt.,r,,,,,,,,,0,5,5,5,,,,,,,f,0,8.40213990211,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Sie verlassen wegen des schönen Wetters die Wohnung.,x,Sie verlassen wegen dem schönen Wetter die Wohnung.,x,,,,,,,,,0,6,6,19,,,,,,,j,0,3.97548890114,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Die Stimmung stieg dank wunderbarem roten Wein.,x,Die Stimmung stieg dank wunderbarem rotem Wein.,x,,,,,,,,,0,7,7,25,,,,,,,f,0,8.93924403191,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,,,,,0,8,8,34,,,,,,,f,0,4.67973709106,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
level,1,In den Kakao gehören immer 350ml warme Milch.,fem,In den Kakao gehören immer 350ml warmer Milch.,r,,,,,,,,,0,9,9,8,,,,,,,j,0,5.48477911949,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
level,1,Er stellt die Masse mit einem Esslöffel warmen Honigs her.,mn,Er stellt die Masse mit einem Esslöffel warmem Honig her.,l,,,,,,,,,0,10,10,3,,,,,,,f,0,7.07608795166,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Außer dem Essen kann ich leider nichts mitbringen.,x,Außer das Essen kann ich leider nichts mitbringen.,x,,,,,,,,,0,11,11,32,,,,,,,f,0,5.81886792183,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
level,1,Sie verbrauchen 60 Liter sprudelnden Trinkwassers.,mn,Sie verbrauchen 60 Liter sprudelndes Trinkwasser.,l,,,,,,,,,0,12,12,1,,,,,,,f,0,6.62347412109,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Wir hatten in Dänemark einen gelegentlichen Besucher.,x,Wir hatten in Dänemark gelegentlich einen Besucher.,x,,,,,,,,,0,13,13,24,,,,,,,f,0,4.96460294724,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Am äußersten Rand der Stadt liegen die Slums.,x,Am äußeren Rand der Stadt liegen die Slums.,x,,,,,,,,,0,14,14,23,,,,,,,j,0,9.84406590462,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,In der Tat wissen wir von den Problemen im Landkreis.,x,In der Tat wissen wir um die Probleme im Landkreis.,x,,,,,,,,,0,15,15,22,,,,,,,f,0,4.81267809868,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Das würde gepasst haben.,x,Das hätte gepasst.,x,,,,,,,,,0,16,16,21,,,,,,,f,0,1.79500699043,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,"Es waren nur kleinere Delikte, derer sie überführt wurden.",x,"Es waren nur kleinere Delikte, deren sie überführt wurden.",x,,,,,,,,,0,17,17,31,,,,,,,j,0,10.9162330627,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Die Kinder fuhren mit solchen unzureichenden Helmen zur Schule.,x,Die Kinder fuhren mit solch unzureichenden Helmen zur Schule.,x,,,,,,,,,0,18,18,29,,,,,,,f,0,7.34620904922,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,,,,,0,19,19,35,,,,,,,j,0,4.39450502396,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Sie hatte keine Lust auf noch eine Sammlung dumme Sprüche.,x,Sie hatte keine Lust auf noch eine Sammlung dummer Sprüche.,x,,,,,,,,,0,20,20,30,,,,,,,f,0,10.7830429077,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Mit heißem leckerem Tee wärmten wir uns auf.,x,Mit heißem leckeren Tee wärmten wir uns auf.,x,,,,,,,,,0,21,21,18,,,,,,,f,0,10.0966830254,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Er wurde trotz des bekannten Skandal wiedergewählt.,x,Er wurde trotz dem bekannten Skandal wiedergewählt.,x,,,,,,,,,0,22,22,16,,,,,,,j,0,3.38727402687,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Außer den Bürgermeister beschuldigten die Störenfriede jeden.,x,Außer dem Bürgermeister beschuldigten die Störenfriede jeden.,x,,,,,,,,,0,23,23,33,,,,,,,f,0,8.70344114304,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
x,0,Im Fernrohr sahen wir den roten Planeten ganz deutlich.,x,Im Fernrohr sahen wir den roten Planet ganz deutlich.,x,,,,,,,,,0,24,24,26,,,,,,,j,0,17.8438148499,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
level,1,Ich nehme eine große Packung salziger Wurst mit an den See.,fem,Ich nehme eine große Packung salzige Wurst mit an den See.,l,,,,,,,,,0,25,25,9,,,,,,,f,0,3.73944783211,2017_Jan_20_1554,60.6736690444,2afc,001,Fr16,
