modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,9.45822906494,,,,,,,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,0,0,0,,,,,,,,f,0,11.0679221153,,,,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,1,1,3,,,,,,,,j,0,5.6683139801,,,,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,2,2,2,,,,,,,,j,0,16.0984520912,,,,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,3,3,1,,,,,,,,f,0,7.51250696182,,,,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,Außer dem Essen kann ich leider nichts mitbringen.,x,Außer das Essen kann ich leider nichts mitbringen.,x,,,,,,,,,0,0,0,32,,,,,,,j,0,7.27853894234,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,In der Tat wissen wir von den Problemen im Landkreis.,x,In der Tat wissen wir um die Probleme im Landkreis.,x,,,,,,,,,0,1,1,22,,,,,,,f,0,6.47368502617,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
level,1,Ich nehme eine große Packung salziger Wurst mit an den See.,fem,Ich nehme eine große Packung salzige Wurst mit an den See.,l,,,,,,,,,0,2,2,9,,,,,,,f,0,11.5207180977,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,Die Stimmung stieg dank wunderbarem roten Wein.,x,Die Stimmung stieg dank wunderbarem rotem Wein.,x,,,,,,,,,0,3,3,25,,,,,,,j,0,9.34012985229,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,Unter wildem ausgelassenem Gegröle randalierten wieder die Abiturienten.,x,Unter wildem ausgelassenen Gegröle randalierten wieder die Abiturienten.,x,,,,,,,,,0,4,4,27,,,,,,,f,0,12.1913459301,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,"Die Uhr schlug sporadisch, obwohl sie defekt war.",x,"Die Uhr schlug sporadisch, obschon sie defekt war.",x,,,,,,,,,0,5,5,38,,,,,,,j,0,9.03782296181,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,Im Fernrohr sahen wir den roten Planeten ganz deutlich.,x,Im Fernrohr sahen wir den roten Planet ganz deutlich.,x,,,,,,,,,0,6,6,26,,,,,,,j,0,12.9802951813,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
x,0,Bei der Feier gedachte man der Soldaten des zweiten Weltkriegs.,x,Bei der Feier gedachte man den Soldaten des zweiten Weltkriegs.,x,,,,,,,,,0,7,7,17,,,,,,,f,0,7.68057489395,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
level,1,Die Schule verbraucht 260.000 Kilowattstunden elektrische Energie.,fem,Die Schule verbraucht 260.000 Kilowattstunden elektrischer Energie.,r,,,,,,,,,0,8,8,10,,,,,,,f,0,14.254663229,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
drop,1,Beträchtliche Stücke saftiges Fleisch wurden serviert.,mn,Beträchtliche Stücke saftigen Fleischs wurden serviert.,l,,,,,,,,,0,9,9,6,,,,,,,f,0,10.8151798248,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
drop,1,Wir mussten uns durch Büschel frisches Gras zwängen.,mn,Wir mussten uns durch Büschel frischen Grases zwängen.,l,,,,,,,,,0,10,10,4,,,,,,,f,0,11.504803896,2017_Jan_19_1548,59.5777586807,2afc,001,Do16,
