modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,6.85794401169,,,,,,,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,0,0,2,,,,,,,,j,0,10.6322159767,,,,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,1,1,1,,,,,,,,j,0,7.93210101128,,,,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,2,2,0,,,,,,,,f,0,10.6994450092,,,,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,3,3,3,,,,,,,,j,0,3.53784894943,,,,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,,,,,0,0,0,37,,,,,,,j,0,4.41055107117,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,Wir hatten in Dänemark einen gelegentlichen Besucher.,x,Wir hatten in Dänemark gelegentlich einen Besucher.,x,,,,,,,,,0,1,1,24,,,,,,,f,0,5.8356180191,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,In der Tat wissen wir von den Problemen im Landkreis.,x,In der Tat wissen wir um die Probleme im Landkreis.,x,,,,,,,,,0,2,2,22,,,,,,,j,0,12.1414530277,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
level,1,100g brauner Zucker sind auf jeden Fall genug.,mn,100g braunen Zuckers sind auf jeden Fall genug.,r,,,,,,,,,0,3,3,0,,,,,,,j,0,8.30090689659,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,Außer den Bürgermeister beschuldigten die Störenfriede jeden.,x,Außer dem Bürgermeister beschuldigten die Störenfriede jeden.,x,,,,,,,,,0,4,4,33,,,,,,,f,0,10.3466050625,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
drop,1,Wir mussten uns durch Büschel frisches Gras zwängen.,mn,Wir mussten uns durch Büschel frischen Grases zwängen.,l,,,,,,,,,0,5,5,4,,,,,,,f,0,12.3089849949,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,Sie verlassen wegen des schönen Wetters die Wohnung.,x,Sie verlassen wegen dem schönen Wetter die Wohnung.,x,,,,,,,,,0,6,6,19,,,,,,,j,0,5.4000980854,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
level,1,Die Schule verbraucht 260.000 Kilowattstunden elektrische Energie.,fem,Die Schule verbraucht 260.000 Kilowattstunden elektrischer Energie.,r,,,,,,,,,0,7,7,10,,,,,,,f,0,9.87748384476,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,Die Kinder fuhren mit solchen unzureichenden Helmen zur Schule.,x,Die Kinder fuhren mit solch unzureichenden Helmen zur Schule.,x,,,,,,,,,0,8,8,29,,,,,,,f,0,10.6655519009,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,Das würde gepasst haben.,x,Das hätte gepasst.,x,,,,,,,,,0,9,9,21,,,,,,,f,0,2.39812302589,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,Bei der Feier gedachte man der Soldaten des zweiten Weltkriegs.,x,Bei der Feier gedachte man den Soldaten des zweiten Weltkriegs.,x,,,,,,,,,0,10,10,17,,,,,,,j,0,8.41861796379,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
level,1,Er stellt die Masse mit einem Esslöffel warmen Honigs her.,mn,Er stellt die Masse mit einem Esslöffel warmem Honig her.,l,,,,,,,,,0,11,11,3,,,,,,,j,0,12.5609719753,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,Er wurde trotz des bekannten Skandal wiedergewählt.,x,Er wurde trotz dem bekannten Skandal wiedergewählt.,x,,,,,,,,,0,12,12,16,,,,,,,j,0,4.46159315109,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
drop,1,Beträchtliche Stücke saftiges Fleisch wurden serviert.,mn,Beträchtliche Stücke saftigen Fleischs wurden serviert.,l,,,,,,,,,0,13,13,6,,,,,,,j,0,7.83145403862,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
x,0,Außer dem Essen kann ich leider nichts mitbringen.,x,Außer das Essen kann ich leider nichts mitbringen.,x,,,,,,,,,0,14,14,32,,,,,,,j,0,10.263201952,2017_Jan_19_1401,59.8110541184,2afc,001,Do14,
