modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,6.74269318581,,,,,,,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,0,0,0,,,,,,,,f,0,8.25024390221,,,,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,1,1,3,,,,,,,,j,0,3.05259418488,,,,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,2,2,2,,,,,,,,j,0,8.80474686623,,,,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,3,3,1,,,,,,,,f,0,14.6565020084,,,,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
drop,1,Bei unserer Ankunft stand ein Glas köstlichen Weins schon auf dem Tisch.,mn,Bei unserer Ankunft stand ein Glas köstlicher Wein schon auf dem Tisch.,r,,,,,,,,,0,0,0,7,,,,,,,f,0,6.75777411461,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
level,1,Ich nehme eine große Packung salziger Wurst mit an den See.,fem,Ich nehme eine große Packung salzige Wurst mit an den See.,l,,,,,,,,,0,1,1,9,,,,,,,f,0,4.88056588173,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,In der Tat wissen wir von den Problemen im Landkreis.,x,In der Tat wissen wir um die Probleme im Landkreis.,x,,,,,,,,,0,2,2,22,,,,,,,j,0,8.11630415916,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
level,1,Die Schule verbraucht 260.000 Kilowattstunden elektrische Energie.,fem,Die Schule verbraucht 260.000 Kilowattstunden elektrischer Energie.,r,,,,,,,,,0,3,3,10,,,,,,,j,0,7.81556510925,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Die Gäste suchen die Wohnung des Herrn Gantenbeins.,x,Die Gäste suchen die Wohnung des Herrn Gantenbein.,x,,,,,,,,,0,4,4,20,,,,,,,f,0,8.70406508446,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Mit heißem leckerem Tee wärmten wir uns auf.,x,Mit heißem leckeren Tee wärmten wir uns auf.,x,,,,,,,,,0,5,5,18,,,,,,,f,0,12.3930430412,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,,,,,0,6,6,37,,,,,,,j,0,7.19503498077,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
level,1,Er stellt die Masse mit einem Esslöffel warmen Honigs her.,mn,Er stellt die Masse mit einem Esslöffel warmem Honig her.,l,,,,,,,,,0,7,7,3,,,,,,,f,0,5.4336540699,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Am äußersten Rand der Stadt liegen die Slums.,x,Am äußeren Rand der Stadt liegen die Slums.,x,,,,,,,,,0,8,8,23,,,,,,,f,0,8.15040802956,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Die Autos beider beteiligten Fahrer wurden verschrottet.,x,Die Autos beider beteiligter Fahrer wurden verschrottet.,x,,,,,,,,,0,9,9,28,,,,,,,j,0,5.21491503716,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
drop,1,Nicht ein Tropfen königlichen Bluts hat den Boden berührt.,mn,Nicht ein Tropfen königliches Blut hat den Boden berührt.,r,,,,,,,,,0,10,10,5,,,,,,,f,0,10.3806381226,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Außer den Bürgermeister beschuldigten die Störenfriede jeden.,x,Außer dem Bürgermeister beschuldigten die Störenfriede jeden.,x,,,,,,,,,0,11,11,33,,,,,,,f,0,12.0408158302,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Sie verlassen wegen des schönen Wetters die Wohnung.,x,Sie verlassen wegen dem schönen Wetter die Wohnung.,x,,,,,,,,,0,12,12,19,,,,,,,f,0,8.50270700455,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Unter wildem ausgelassenem Gegröle randalierten wieder die Abiturienten.,x,Unter wildem ausgelassenen Gegröle randalierten wieder die Abiturienten.,x,,,,,,,,,0,13,13,27,,,,,,,f,0,9.84494686127,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Außer dem Essen kann ich leider nichts mitbringen.,x,Außer das Essen kann ich leider nichts mitbringen.,x,,,,,,,,,0,14,14,32,,,,,,,j,0,7.04331898689,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Das würde gepasst haben.,x,Das hätte gepasst.,x,,,,,,,,,0,15,15,21,,,,,,,f,0,3.32016396523,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
drop,1,Beträchtliche Stücke saftiges Fleisch wurden serviert.,mn,Beträchtliche Stücke saftigen Fleischs wurden serviert.,l,,,,,,,,,0,16,16,6,,,,,,,f,0,5.50013995171,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Im Fernrohr sahen wir den roten Planeten ganz deutlich.,x,Im Fernrohr sahen wir den roten Planet ganz deutlich.,x,,,,,,,,,0,17,17,26,,,,,,,j,0,9.97831392288,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,,,,,0,18,18,36,,,,,,,f,0,4.29329299927,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
level,1,Sie verbrauchen 60 Liter sprudelnden Trinkwassers.,mn,Sie verbrauchen 60 Liter sprudelndes Trinkwasser.,l,,,,,,,,,0,19,19,1,,,,,,,f,0,6.10493183136,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,"Die Uhr schlug sporadisch, obwohl sie defekt war.",x,"Die Uhr schlug sporadisch, obschon sie defekt war.",x,,,,,,,,,0,20,20,38,,,,,,,j,0,6.99341607094,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,,,,,0,21,21,35,,,,,,,f,0,4.24186205864,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Er wurde trotz des bekannten Skandal wiedergewählt.,x,Er wurde trotz dem bekannten Skandal wiedergewählt.,x,,,,,,,,,0,22,22,16,,,,,,,f,0,11.9572339058,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Die Kinder fuhren mit solchen unzureichenden Helmen zur Schule.,x,Die Kinder fuhren mit solch unzureichenden Helmen zur Schule.,x,,,,,,,,,0,23,23,29,,,,,,,f,0,7.26083612442,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
x,0,Wir hatten in Dänemark einen gelegentlichen Besucher.,x,Wir hatten in Dänemark gelegentlich einen Besucher.,x,,,,,,,,,0,24,24,24,,,,,,,f,0,7.58014988899,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
level,1,Wir haben jede Menge alten Kram aus dem Haus geschafft.,mn,Wir haben jede Menge alten Krams aus dem Haus geschafft.,r,,,,,,,,,0,25,25,2,,,,,,,j,0,5.29859995842,2017_Jan_18_1547,59.6726918344,2afc,001,Mi16,
