modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,8.36136603355,,,,,,,2017_Jan_17_1007,59.9528016684,2afc,001,Di10,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,0,0,1,,,,,,,,j,0,10.4462389946,,,,2017_Jan_17_1007,59.9528016684,2afc,001,Di10,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,1,1,2,,,,,,,,f,0,4.63855886459,,,,2017_Jan_17_1007,59.9528016684,2afc,001,Di10,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,2,2,0,,,,,,,,f,0,10.5797719955,,,,2017_Jan_17_1007,59.9528016684,2afc,001,Di10,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,3,3,3,,,,,,,,j,0,5.34114408493,,,,2017_Jan_17_1007,59.9528016684,2afc,001,Di10,
x,0,In der Tat wissen wir von den Problemen im Landkreis.,x,In der Tat wissen wir um die Probleme im Landkreis.,x,,,,,,,,,0,0,0,22,,,,,,,j,0,4.02322006226,2017_Jan_17_1007,59.9528016684,2afc,001,Di10,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,,,,,0,1,1,34,,,,,,,f,0,5.12119102478,2017_Jan_17_1007,59.9528016684,2afc,001,Di10,
level,1,Die Schule verbraucht 260.000 Kilowattstunden elektrische Energie.,fem,Die Schule verbraucht 260.000 Kilowattstunden elektrischer Energie.,r,,,,,,,,,0,2,2,10,,,,,,,f,0,7.45920014381,2017_Jan_17_1007,59.9528016684,2afc,001,Di10,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,,,,,0,3,3,37,,,,,,,j,0,2.8889529705,2017_Jan_17_1007,59.9528016684,2afc,001,Di10,
drop,1,Bei unserer Ankunft stand ein Glas köstlichen Weins schon auf dem Tisch.,mn,Bei unserer Ankunft stand ein Glas köstlicher Wein schon auf dem Tisch.,r,,,,,,,,,0,4,4,7,,,,,,,j,0,8.20989584923,2017_Jan_17_1007,59.9528016684,2afc,001,Di10,
